e, e_dot, e_int, stamp, 
0.46172387402467535, 0.0, 0.09234477480493507, 7207000000, 
0.39190390550664883, -0.23273322839342173, 0.08769011023706663, 543387000000, 
0.3919747125566057, -0.23249720489356548, 0.08304016613919532, 543489000000, 
0.39217818335715354, 0.0009142595016823721, 0.07840378676136053, 543591000000, 
0.3747617377330568, -0.05737658274516296, 0.07726097557645441, 543693000000, 
0.3405281516423524, -0.1721667723826705, 0.07383120484883751, 543795000000, 
0.32594467046876485, -0.1627235575476399, 0.06941563732294492, 543897000000, 
0.3094755289010181, -0.10350874247111434, 0.06506322340080903, 543999000000, 
0.2750283146282077, -0.1697211861351905, 0.06069656759986605, 544067000000, 
0.2526055279341748, -0.18956666988947768, 0.05580729143089337, 544169000000, 
0.23781170425834136, -0.12405536789955447, 0.051029703121381595, 544271000000, 
0.2203738773112408, -0.10743883540977994, 0.047386073966917124, 544373000000, 
0.2016386973617206, -0.12057668965540252, 0.043988285262086854, 544475000000, 
0.19090663563201749, -0.0982241389307444, 0.04086128068699859, 544577000000, 
0.182228871168051, -0.06469942064556533, 0.0383182802774526, 544679000000, 
0.17016066506007282, -0.06915323523981554, 0.03621974479067608, 544781000000, 
0.1594825840295568, -0.07582095712831398, 0.03412480801717871, 544883000000, 
0.15154662774116084, -0.06204679106303993, 0.03207932512205269, 544985000000, 
0.1424195942823563, -0.05687663249066841, 0.030229920403538262, 545087000000, 
0.13203356448954634, -0.06504354417204834, 0.028399985767537564, 545189000000, 
0.12327641941299833, -0.06381058289785986, 0.02651530521232673, 545291000000, 
0.11559365652819692, -0.05479969320449807, 0.024726909362049437, 545393000000, 
0.10749812580409673, -0.052594312029671984, 0.02309121344968613, 545495000000, 
0.10028934262829126, -0.051014379666352215, 0.021558741664038993, 545597000000, 
0.09447736592944983, -0.04340253291548968, 0.020150988957455856, 545665000000, 
0.08847452456447003, -0.039382726879404105, 0.018882748874814073, 545767000000, 
0.08261067137690353, -0.03955564850848766, 0.017704170791388224, 545869000000, 
0.07724468540809548, -0.037432797187915146, 0.016555325423297934, 545971000000, 
0.07216838153850447, -0.034807632794663555, 0.015468249221566898, 546073000000, 
0.0675008762620149, -0.032479363820268614, 0.01446092954724099, 546175000000, 
0.06317653648584715, -0.02997281684219107, 0.013523052952424433, 546277000000, 
0.059361571174032624, -0.027131016959940912, 0.012669265594792978, 546379000000, 
0.05615840694053409, -0.023393765151043522, 0.011913100973360924, 546481000000, 
0.05260113429696733, -0.022534789590217635, 0.011208074160768937, 546583000000, 
0.04933468908242261, -0.022745726193704924, 0.010539615354661603, 546685000000, 
0.04615660589218529, -0.021481761349273487, 0.009872828618105015, 546787000000, 
0.04308213277433137, -0.02084185436030413, 0.009238228516595951, 546889000000, 
0.0399787446160112, -0.020592870920580302, 0.008614498885501858, 546991000000, 
0.03727307125840845, -0.019363538386409734, 0.008022263243250068, 547093000000, 
0.03513909355982758, -0.01613217018727871, 0.007492727295616482, 547161000000, 
0.033045669260156285, -0.01409133999417389, 0.007030522271892822, 547263000000, 
0.03102045461376135, -0.013728796486887443, 0.006613681162249681, 547365000000, 
0.029504879128873618, -0.011802633770942225, 0.00623806686685275, 547467000000, 
0.027826265927432703, -0.01064729562109549, 0.005890106644671178, 547569000000, 
0.026134998023324363, -0.011232937018497516, 0.005564409538642045, 547671000000, 
0.02462501770691089, -0.010670827401739377, 0.005239085443844531, 547773000000, 
0.02292857709593288, -0.010688069757971616, 0.004912572855077875, 547875000000, 
0.021314610887138485, -0.011034689399241349, 0.004591213712665483, 547977000000, 
0.019673051493408034, -0.010851752008416149, 0.004261082631765293, 548079000000, 
0.01819054152743882, -0.01041356453233222, 0.003945213593865689, 548181000000, 
0.016872972968775657, -0.009333595082107923, 0.003649104399308167, 548283000000, 
0.015572904580948566, -0.008725456488300845, 0.0033757612718108695, 548385000000, 
0.014775301803708507, -0.0069922372168905, 0.003148078623562182, 548487000000, 
0.014118561049407619, -0.004847811771803157, 0.0029644511622709795, 548589000000, 
0.01347048811637408, -0.004349378957781425, 0.0028242900646326804, 548691000000, 
0.012856274180064742, -0.004207622897809589, 0.002696354889723096, 548759000000, 
0.012340980018714143, -0.00376502699219979, 0.0025778494876768643, 548861000000, 
